City,State,Percent of households with a computer,Percent of households with high-speed Internet
Abilene, TX,86.5,71.7
Akron, OH,89.1,79
Albany, GA,80.8,68.4
Albany, OR,91.6,80.1
Albany, NY,90.1,81.7
Albuquerque, NM,84.3,73.4
Alexandria, LA,84.4,75.5
Allentown, PA,88.9,80.6
Altoona, PA,85.5,76.6
Amarillo, TX,88.2,75.7
Ames, IA,96.1,86
Anchorage, AK,94.7,87.2
Ann Arbor, MI,94.6,85.7
Anniston, AL,84.8,73.6
Appleton, WI,91.8,83.1
Asheville, NC,86.5,77.2
Athens, GA,84.3,73.9
Atlanta, GA,91.6,81.5
Atlantic City, NJ,89.9,79.9
Auburn, AL,87.4,77.7
Augusta, GA,85.5,74.1
Austin, TX,92,82.8
Bakersfield, CA,81.3,70.6
Baltimore, MD,90.8,82.9
Bangor, ME,86.3,75.6
Barnstable Town, MA,92.8,86.3
Baton Rouge, LA,86.1,73.6
Battle Creek, MI,85.7,68.3
Bay City, MI,85,74.8
Beaumont, TX,82.1,72.1
Beckley, WV,79.5,74.2
Bellingham, WA,91.6,81
Bend, OR,93.2,81.4
Billings, MT,89.6,79.9
Binghamton, NY,88.9,80
Birmingham, AL,86,71.3
Bismarck, ND,89.5,80.7
Blacksburg, VA,86,75.8
Bloomington, IL,92.6,82.8
Bloomington, IN,90.8,76.2
Bloomsburg, PA,83.1,75.3
Boise City, ID,92.4,79
Boston, MA,92.6,86.9
Boulder, CO,96.9,87.9
Bowling Green, KY,88.1,75.5
Bremerton, WA,94.6,88.1
Bridgeport, CT,93.3,87.9
Brownsville, TX,71.7,57.4
Brunswick, GA,87.3,73.5
Buffalo, NY,87.9,78
Burlington, NC,85.2,71.5
Burlington, VT,93.4,85.8
California, MD,83.5,76.1
Canton, OH,87,79.9
Cape Coral, FL,89.9,78.8
Cape Girardeau, MO,82.1,69.9
Carbondale, IL,81.8,71
Carson City, NV,90.7,83
Casper, WY,91.9,80.2
Cedar Rapids, IA,90.4,81.8
Chambersburg, PA,84.6,76
Champaign, IL,91.4,83.4
Charleston, WV,86.9,76.6
Charleston, SC,89.1,77.1
Charlotte, NC,88.9,78.6
Charlottesville, VA,87.6,75.9
Chattanooga, TN,85.2,76.1
Cheyenne, WY,94,81.6
Chicago, IL,89.6,80.5
Chico, CA,91.1,81.5
Cincinnati, OH,89.4,79.4
Clarksville, TN,88.8,77.9
Cleveland, TN,78.9,66
Cleveland, OH,87.3,78.5
Coeur d'Alene, ID,93.2,82.2
College Station, TX,89,73.9
Colorado Springs, CO,94.4,88.5
Columbia, MO,92.5,84
Columbia, SC,88.8,74.6
Columbus, GA,83.5,70.3
Columbus, IN,84.7,79.1
Columbus, OH,91,82.1
Corpus Christi, TX,87.6,73.6
Corvallis, OR,95.3,89
Crestview, FL,90,82.3
Cumberland, MD,78.3,69.4
Dallas, TX,90.5,78.9
Dalton, GA,84.6,75
Danville, IL,75.5,62
Daphne, AL,89.8,72.3
Davenport, IA,88.9,78.5
Dayton, OH,89.1,77.4
Decatur, AL,81.9,67
Decatur, IL,84.5,73
Deltona, FL,89.8,77.7
Denver, CO,92.9,83.4
Des Moines, IA,92.6,83.2
Detroit, MI,89.5,77.5
Dothan, AL,79.4,66.6
Dover, DE,91.1,77.7
Dubuque, IA,89.1,80.4
Duluth, MN,86.9,75.3
Durham, NC,90.8,83.9
East Stroudsburg, PA,92.2,85.1
Eau Claire, WI,89.2,80.8
El Centro, CA,87.6,69.2
El Paso, TX,83.3,69.4
Elizabethtown, KY,91.1,81.5
Elkhart, IN,83.6,73.3
Elmira, NY,87,77.7
Erie, PA,87,76.8
Eugene, OR,92.8,84.1
Evansville, IN,85.4,76
Fairbanks, AK,93.8,77.2
Fargo, ND,93,82
Farmington, NM,71.7,51.3
Fayetteville, NC,89.5,78.1
Fayetteville, AR,89.5,65.8
Flagstaff, AZ,85.6,73.6
Flint, MI,84,72.2
Florence, SC,79.6,64.4
Florence, AL,83.1,65.6
Fond du Lac, WI,87.7,77
Fort Collins, CO,94.6,85
Fort Smith, AR,79.2,64.5
Fort Wayne, IN,89.3,77.4
Fresno, CA,82.3,69
Gadsden, AL,82.2,66
Gainesville, FL,88.6,78.2
Gainesville, GA,82.4,70.4
Gettysburg, PA,89.8,79.1
Glens Falls, NY,86.8,79.5
Goldsboro, NC,84.1,72.3
Grand Forks, ND,90.8,83.2
Grand Island, NE,82.1,71.7
Grand Junction, CO,91.4,85.7
Grand Rapids, MI,91.6,80.9
Grants Pass, OR,88.4,77
Great Falls, MT,85.2,76.3
Greeley, CO,90.9,79.8
Green Bay, WI,90.3,81.9
Greensboro, NC,83.1,72.9
Greenville, NC,86.4,74.3
Greenville, SC,84.3,72.9
Gulfport, MS,87.3,74.5
Hagerstown, MD,88.3,75.4
Hammond, LA,84.5,66.7
Hanford, CA,81.6,70.2
Harrisburg, PA,89.1,81
Harrisonburg, VA,86.7,74.9
Hartford, CT,90.6,83.4
Hattiesburg, MS,90.6,70.2
Hickory, NC,82.2,68.2
Hilton Head Island, SC,88.1,77.9
Hinesville, GA,90.1,75.9
Homosassa Springs, FL,89.8,79.2
Hot Springs, AR,84.9,68.8
Houma, LA,85.4,74.9
Houston, TX,88.7,78.1
Huntington, WV,84.3,72.2
Huntsville, AL,88.8,78.3
Idaho Falls, ID,91.3,80.5
Indianapolis, IN,88.7,79
Iowa City, IA,93.3,85.8
Ithaca, NY,93.4,83.5
Jackson, MI,88.1,72.6
Jackson, MS,83.2,69.1
Jackson, TN,83.3,68.3
Jacksonville, FL,89.5,80.5
Jacksonville, NC,91.1,79.9
Janesville, WI,90.6,77.6
Jefferson City, MO,86.7,69.9
Johnson City, TN,85.9,74.6
Johnstown, PA,84.9,76.5
Jonesboro, AR,85.5,71.1
Joplin, MO,84.3,69.5
Kahului, HI,89.6,81.7
Kalamazoo, MI,90.1,79.6
