artist id,member name
1003,Chris Wolstenholme
1003,Dominic Howard
1003,Matthew Bellamy
1289,Guy-Manuel de Homem-Christo
1289,Thomas Bangalter
2725,Alan Wilder
2725,Andrew Fletcher
2725,Dave Gahan
2725,Martin L. Gore
2725,Vince Clarke
20991,Bill Wyman
20991,Brian Jones
20991,Charlie Watts
20991,Dick Taylor
20991,Keith Richards
20991,Mick Jagger
20991,Mick Taylor
20991,Ron Wood
20991,Tony Chapman
21764,Al Anderson
21764,Alvin "Seeco" Patterson
21764,Aston "Family Man" Barrett
21764,Bernard "Touter" Harvey
21764,Bob Marley
21764,Carlton Barrett
21764,I Threes
21764,Junior Hanson Marvin
21764,Junior Marvin
21764,Lee Jaffe
21764,Neville Livingston
21764,Peter Tosh
21764,Tyrone Downie
29735,Chris Martin
29735,Guy Berryman
29735,Jon Buckland
29735,Will Champion
124541,Alec John Such
124541,David Bryan
124541,Jon Bon Jovi
124541,Richie Sambora
124541,Tico Torres
192151,Adam Levine
192151,James Valentine
192151,Jesse Carmichael
192151,Matt Flynn
192151,Mickey Madden
192151,Ryan Dusick
255680,Bernie Leadon
255680,Don Felder
255680,Don Henley
255680,Glenn Frey
255680,Joe Walsh
255680,Randy Meisner
255680,Timothy B. Schmit
318185,Andrew Hurley
318185,Joe Trohman
318185,Patrick Stump
318185,Pete Wentz
391170,Alex Turner
391170,Andy Nicholson
391170,Jamie Cook
391170,Matt Helders
391170,Nick O'Malley
542243,Gary Levox
542243,Jay Demarcus
542243,Joe Don Rooney
609563,Hayley Williams
609563,Jason Bynum
609563,Jeremy Davis
609563,Josh Farro
609563,Taylor York
609563,Zac Farro
784074,Andrew Brown
784074,Brent Kutzle
784074,Eddie Fisher
784074,Ryan Tedder
784074,Zachary Filkins
1024624,Jimi Westbrook
1024624,Karen Fairchild
1024624,Kimberly Schlapman
1024624,Phillip Sweet
1106902,Andrew Phillips
1106902,Mike Rosenberg
1333451,Charles Kelley
1333451,Dave Haywood
1333451,Hillary Scott
1484583,Chris Fryar
1484583,Clay Cook
1484583,Coy Bowles
1484583,Jimmy De Martini
1484583,John Driskell Hopkins
1484583,Zac Brown
1567405,Ben Lovett
1567405,Marcus Mumford
1567405,Ted Dwane
1567405,Winston Marshall
1801598,Axel Hedfors
1801598,Eric Prydz
1801598,Sebastian Ingrosso
1801598,Steve Patrik Josefsson Fragogiannis
1868970,Aaron Bruno
1868970,Christopher Thorn
1868970,David Amezcua
1868970,Hayden Scott
1868970,Kenny Carkeet
1871196,Andrew Dost
1871196,Jack Antonoff
1871196,Nate Ruess
1871196,Nathan Edward Harold
2010943,Aino Jawo
2010943,Caroline Hjelt
2330068,Guy Lawrence
2330068,Howard Lawrence
2432320,Harry Styles
2432320,Liam Payne
2432320,Louis Tomlinson
2432320,Niall Horan
2432320,Zain Malik
2563389,Chris Wood
2563389,Dan Smith
2563389,Kyle Simmons
2563389,William Farquarson
2727700,Ben McKee
2727700,Dan Reynolds
2727700,Daniel Platzman
2727700,Wayne Sermon
2734037,Jeremy Fraites
2734037,Neyla Pekarek
2734037,Wesley Schultz
2899046,Ryan Merchant
2899046,Sebu Simonian
3042765,Brian Kelley
3042765,Tyler Hubbard
3255888,Dave Rublin
3255888,James Adam Shelley
3255888,Matt Sanchez
3255888,Zac Barnett
3601005,Chad Vaccarino
3601005,Ian Axel
3747648,Alex Tanas
3747648,Ben Spivak
3747648,Mark Pellizzer
3747648,Nasri
3750880,Ashton Irwin
3750880,Calum Hood
3750880,Luke Hemmings
3750880,Michael Clifford
3770145,Nico Sereba
3770145,Vincent Dery
