artist id,real name
1003,Mathew Ballamy Chris Wolstenholme Dominic Howard
1289,Thomas Bangalter & Guy-Manuel de Homem-Christo
2725,Martin Gore David Gahan Andrew Fletcher Vince Clarke Alan Wilder.
5530,Shakira Isabel Mebarak Ripoll
7118,William Grigahcine
11012,Roderick David Stewart
15687,Britney Jean Spears
15885,Michael Joseph Jackson
17961,Cherilyn Sarkisian La Pierre
21742,Shawn Corey Carter
21991,Sia Kate Isobelle Furler
33534,Mariah Carey
35301,Sir James Paul McCartney MBE
35646,William James Adams Jr.
36527,Pierre David Guetta
36988,Alecia Beth Moore
38661,Marshall Bruce Mathers III
38905,Alicia Augello Cook
51984,Jennifer Lynn Lopez
52835,Beyonce Giselle Knowles-Carter
57103,Reginald Kenneth Dwight
66824,Justin Randall Timberlake
77855,Christina Maria Aguilera
87582,Enrique Miguel Iglesias Preysler
90037,Pharrell Williams
120307,Jonathan Mortimer Smith
125992,Avril Ramona Lavigne
132084,Calvin Cordozar Broadus Jr.
137418,William Martin Joel
137880,Kanye Omari West
151199,Aubrey Drake Graham
160061,Douglas Hayes Pinkney
180140,Clifford Joseph Harris Jr.
182738,John Stephens
191200,Egbert Nathaniel Dawkins III
201543,Kelly Brianne Clarkson
219986,Bruce Frederick Joseph Springsteen
221673,Nayvadius Wilburn Cash
222578,Adam Richard Wiles
232956,Armando Christian Perez
257663,Michael Steven Buble
268072,Kenny Chesney
273338,Michael Wansley
288409,Troyal Garth Brooks
292681,Robert Charles Thicke
293744,Tremaine Aldon Neverson
313755,Brad Douglas Paisley
313771,Samuel Timothy Smith
320518,Keith Lionel Urban
321128,Robyn Rihanna Fenty
357753,Christopher Maurice Brown
372367,Idina Menzel
376312,Jordan Houston
489619,Darius Rucker
614963,Cameron Jibril Thomaz
676432,Miley Ray Cyrus
750828,Jermaine Lamarr Cole
792536,Ben Haggerty
819015,Adele Laurie Blue Adkins
829795,George Strait
885103,Tramar Dillard
932352,Olubowale Victor Akintimehin
971243,Katheryn Elizabeth Hudson
1011680,Carrie Marie Underwood
1065010,Dwayne Michael Carter Jr.
1087831,Sara Beth Bareilles
1103159,Stefani Joanne Angelina Germanotta
1106902,Mike Rosenberg
1123409,Kesha Rose Sebert
1124645,Taylor Alison Swift
1178339,Jason Joel Desrouleaux
1181524,Demetria Devonne "Demi" Lovato
1181588,Keenon Daequan Ray Jackson
1235958,Tim Bergling
1314995,Miranda Lambert
1314996,Blake Tollison Shelton
1315018,Jason Aldine Williams
1345479,Charlotte Emma Aitchison
1357693,Peter Gene Bayot Hernandez
1376377,Samuel Frederick Smith
1602787,Justin Drew Bieber
1615988,Onika Tanya Maraj
1626845,Elena Jane Goulding
1642600,Selena Marie Gomez
1778977,Kendrick Duckworth
1798617,Miguel Jontel Pimentel
1843773,Park Jae-Sang
1990571,Anton Zaslavski
2171152,Abel Tesfaye
2184482,Edward Christopher Sheeran
2353545,Quincy Matthew Hanley
2409771,Rakim Mayers
2445772,Elizabeth Woolridge Grant
2460478,Meghan Elizabeth Trainor
2482309,Donald McKinley Glover
2523290,Tauheed Epps
2563389,Bastille
2685102,Amethyst Amelia Kelly
2690296,Kenneth Eric Church
2743995,Harry Bauer Rodrigues
2947730,Rebbeca Marie Gomez
3003250,Martijn Garritsen
3042765,Brian Kelley Tyler Hubbard
3062379,Brian Collins
3310737,Ariana Grande-Butera
3317315,Ella Maria Lani Yelich-O'Connor
3506702,Ebba Tove Elsa Nilsson
3588219,Jhen&#233; Aiko Efuru Chilombo
