artist id,artist name
1003,Muse
1289,Daft Punk
2725,Depeche Mode
5530,Shakira
7118,DJ Snake
11012,Rod Stewart
15687,Britney Spears
15885,Michael Jackson
17961,Cher
20991,The Rolling Stones
21742,Jay-Z
21764,Bob Marley & The Wailers
21991,Sia
29735,Coldplay
33534,Mariah Carey
35301,Paul McCartney
35646,Will I Am
36527,David Guetta
36988,P!NK
38661,Eminem
38905,Alicia Keys
51984,Jennifer Lopez
52835,Beyonce
57103,Elton John
66824,Justin Timberlake
77855,Christina Aguilera
87582,Enrique Iglesias
90037,Pharrell Williams
120307,Lil' Jon
124541,Bon Jovi
125992,Avril Lavigne
132084,Snoop Dogg
137418,Billy Joel
137880,Kanye West
151199,Drake
160061,Hunter Hayes
180140,T.I.
182738,John Legend
191200,Aloe Blacc
192151,Maroon 5
201543,Kelly Clarkson
219986,Bruce Springsteen
221673,Future
222578,Calvin Harris
232956,Pitbull
255680,Eagles
257663,Michael Buble;
268072,Kenny Chesney
273338,Wanz
288409,Garth Brooks
292681,Robin Thicke
293744,Trey Songz
313755,Brad Paisley
313771,Tim McGraw
318185,Fall Out Boy
320518,Keith Urban
321128,Rihanna
357753,Chris Brown
372367,Idina Menzel
376312,Juicy J
391170,Arctic Monkeys
489619,Darius Rucker
542243,Rascal Flatts
609563,Paramore
614963,Wiz Khalifa
676432,Miley Cyrus
750828,J. Cole
784074,OneRepublic
792536,Macklemore
819015,Adele
829795,George Strait
885103,Flo Rida
932352,Wale
971243,Katy Perry
1011680,Carrie Underwood
1024624,Little Big Town
1024681,Dierks Bentley
1065010,Lil Wayne
1087831,Sara Bareilles
1103159,Lady Gaga
1106902,Passenger
1123409,Kesha
1124645,Taylor Swift
1178339,Jason Derulo
1181524,Demi Lovato
1181588,YG
1235958,Avicii
1296614,Luke Bryan
1314995,Miranda Lambert
1314996,Blake Shelton
1315018,Jason Aldean
1333451,Lady Antebellum
1345479,Charli XCX
1357693,Bruno Mars
1376377,Sam Smith
1484583,Zac Brown Band
1567405,Mumford & Sons
1602787,Justin Bieber
1615988,Nicki Minaj
1626845,Ellie Goulding
1642600,Selena Gomez
1778977,Kendrick Lamar
1798617,Miguel Jontel Pimentel
1801598,Swedish House Mafia
1843773,Psy
1868970,Awolnation
1871196,Fun.
1990571,Zedd
1991984,Anna Kendrick
2010943,Icona Pop
2171152,The Weeknd
2183693,Randy Houser
2184482,Ed Sheeran
2201096,The Band Perry
2330068,Disclosure
2353545,Schoolboy Q
2409771,ASAP Rocky
2432320,One Direction
2445772,Lana Del Rey
2460478,Meghan Trainor
2482309,Childish Gambino
2523290,2 Chainz
2563389,Bastille
2685102,Iggy Azalea
2687693,Of Monsters And Men
2690296,Eric Church
2690348,Lee Brice
2727700,Imagine Dragons
2734037,The Lumineers
2736262,Brantley Gilbert
2743995,Baauer
2821897,Phillip Phillips
2899046,Capital Cities
2947730,Becky G
3003250,Martin Garrix
3042765,Florida Georgia Line
3062379,Kid Ink
3094075,Romeo Santos
3242799,MKTO
3255888,American Authors
3306137,Cole Swindell
3310737,Ariana Grande
3317315,Lorde
3329552,Austin Mahone
3506702,Tove Lo
3588219,Jhene AIko
3601005,A Great Big World
3747648,MAGIC!
3750880,5 Seconds Of Summer
3770145,Nico & Vinz
